question,text,question_clean
When did the Olympic torch visit Jakarta?,April 22,olympictorchvisitjakarta
What decade were the first computer centers created in Estonia?,the late 1950s,decadefirstcomputercentercreatedestonia
How often do kids get diarrhea in developing countries?,average three times a year,oftenkidgetdiarrheadevelopingcountry
What coin replaced the ban liangs after only a year of distribution?,wuzhu,coinreplacedbanliangsyeardistribution
When did the IEC release its version of the common EPS standard as IEC 62684:2011?,January 2011,iecreleaseversioncommonepsstandardiec626842011
In what animal is zinc toxic to the point of poisonous?,parrots,animalzinctoxicpointpoisonous
Who helped codify musical notation?,Pythagoras,helpedcodifymusicalnotation
What is the third-most-prevalent language in Oklahoma?,Cherokee,thirdmostprevalentlanguageoklahoma
What music group was in Kanye's first release off of Graduation?,Daft Punk,musicgroupkanyesfirstreleasegraduation
In what year did Osman's son capture an Anatolian city?,1324,yearosmanssoncaptureanatoliancity
What did Victoria believe that an official proclamation transferring control from the company to the monarchy would do?,"""should breathe feelings of generosity, benevolence and religious toleration""",victoriabelieveofficialproclamationtransferringcontrolcompanymonarchywould
At what event at the Tokyo Game Show was the DualShock 3 first announced?,press conference,eventtokyogameshowdualshock3firstannounced
"In October 2010, who was the Nobel laureate that explained how the U.S. Federal Reserve was creating currency to combat the liquidity trap?",Joseph Stiglitz,october2010nobellaureateexplainedufederalreservecreatingcurrencycombatliquiditytrap
What decade did Dell switch to PSUs and boards that had differently wired connectors?,1990s,decadedellswitchpsusboarddifferentlywiredconnector
About how many people are likely to live in Kathmandu in 2021?,"1,319,597",manypeoplelikelylivekathmandu2021
"Where did 150,000 migrate during the Munich crisis?",Wales,150000migratemunichcrisis
From what year did iPod purchases begin to continuously decline?,2009,yearipodpurchasebegincontinuouslydecline
What type of labor have some countries come under fire for employing?,child,typelaborcountrycomefireemploying
What is the level called that the special Amiibo will unlock?,Cave of Shadows,levelcalledspecialamiibounlock
"In issuing the grade, the Corporate Library found that a third of Comcast's board was how old?",over 70 years of age,issuinggradecorporatelibraryfoundthirdcomcastsboardold
What type of music rose toward the end of the era?,nationalism,typemusicrosetowardendera
What do the roots get from the shoots?,food,rootgetshoot
A retrial is also called what?,"""trial de novo""",retrialalsocalled
Who was the ruler of Morocco in 1984?,Hassan II,rulermorocco1984
What obsticals will migrating birds avoid?,large stretches of open water,obsticalsmigratingbirdavoid
What colors was the aircraft painted?,red and yellow,coloraircraftpainted
What was the name of Gaddafi's tribe?,Qadhadhfa,namegaddafitribe
What controversial religious group did Nigeria join?,Organisation of the Islamic Conference,controversialreligiousgroupnigeriajoin
What was potentially considered abuse of teacher-student confidentiality?,Forsyth's decision to record a conversation with Harry,potentiallyconsideredabuseteacherstudentconfidentiality
What date was the Australian mainland first attacked?,19 February,dateaustralianmainlandfirstattacked
Where is the League of Nations located?,Switzerland,leaguenationlocated
The former publisher of the Boston phoenix owns what Spanish newspaper?,El Planeta,formerpublisherbostonphoenixownsspanishnewspaper
What famous landmark is Mysee de l'Armee lat Les Invalides located ner?,the tomb of Napoleon,famouslandmarkmyseedelarmeelatleinvalideslocatedner
In what district of London is The Fitzroy Tavern located?,Fitzrovia,districtlondonfitzroytavernlocated
Galschiøt and two fellow protesters were denied to entry to Hong Kong for what reason?,immigration reasons,galschiøttwofellowprotesterdeniedentryhongkongreason
In what year did the Altay Sports Club form?,1914,yearaltaysportclubform
Matthew described that who was present at the Crucifixion?,many women,matthewdescribedpresentcrucifixion
Where was Mary consecrated as a virgin?,the Temple in Jerusalem,maryconsecratedvirgin
When was Nanjing made a capital again?,during the Southern Tang (937–976),nanjingmadecapital
How much money did Apple make in 2007?,$3.5 billion,muchmoneyapplemake2007
What type of pub signs were useful to an illiterate clientele?,pictorial signs,typepubsignusefulilliterateclientele
How is the ethnic Tibetan region referred to as a modern Standard Chinese exonym?,Zangqu,ethnictibetanregionreferredmodernstandardchineseexonym
Who was granted a charter to govern Saint Helena?,the English East India Company,grantedchartergovernsainthelena
What is the third element?,social health,thirdelement
Had there ever been a time where an elector voted for the same candidate to be both president and vice president?,This was the first time in U.S. history,evertimeelectorvotedcandidatepresidentvicepresident
How long is the tenure for an officer to run the union?,one year,longtenureofficerrununion
What's the all-lowercase named arts organization in charge of the art gallery in Southampton's Bargate?,a space,whatsalllowercasenamedartorganizationchargeartgallerysouthamptonsbargate
Where is the head quarters for the International Federation for Human Rights?,Paris,headquarterinternationalfederationhumanright
Which Amiibo figure makes Link lose more health when attacked?,Ganondorf,amiibofiguremakelinklosehealthattacked
Beyonce than appeared again on the Time 100 list in what year?,2014,beyonceappearedtime100listyear
East 1st Street begins just North of East Houston Street at Avenue A and continues to where?,Bowery,east1ststreetbeginnortheasthoustonstreetavenuecontinues
Chopin's sister Ludwika took his heart back to Warsaw preserved in what?,alcohol,chopinsisterludwikatookheartbackwarsawpreserved
Who voted to overturn the ban on motorsport events in June 2007?,Swiss National Council,votedoverturnbanmotorsporteventjune2007
What does the repair+skip feature on newer DVD players do?,filling in unreadable areas of the picture with blank space or a frozen frame of the last readable image and sound,repairskipfeaturenewerdvdplayer
What is Neptune's temperature in the thermosphere? ,750 K,neptunetemperaturethermosphere
Who was Google's CEO in 2007?,Eric Schmidt,googleceo2007
"France was now in a desperate position, what did they do?",France was forced to accede to the Austro-Russian alliance,francedesperateposition
"What shape is a cirque, generally?",armchair-shaped,shapecirquegenerally
How many citizens in Israel are Jewish?,"6,345,400",manycitizenisraeljewish
Who was the Father of Prince Henry the Navigator?,King João I,fatherprincehenrynavigator
Billions of dollars have been paid by which companies?,"AstraZeneca, Johnson & Johnson and Eli Lilly",billiondollarpaidcompany
How did most naturalists view the concept of transmutation of species?,a threat to divinely appointed social order.,naturalistviewconcepttransmutationspecie
"What safety mechanisms are still required, despite lower design costs?","locks on shaft access doors, fall arrestors, and emergency phones",safetymechanismstillrequireddespitelowerdesigncost
In what year was thalidomide banned in Germany?,1961,yearthalidomidebannedgermany
What breed of chicken is named after a town in Java ?,A bantam,breedchickennamedtownjava
What did the American Counsel of Bishops rally for?,religious freedom,americancounselbishoprally
What year did DST rules change in North America?,2007,yeardstrulechangenorthamerica
What other types of language have the phonological analysis principles been applied to?,sign languages,typelanguagephonologicalanalysisprincipleapplied
What desert constitutes most of Egypt territory?,Sahara desert,desertconstitutesegyptterritory
How many college students does Boston attract?,"more than 350,000",manycollegestudentbostonattract
In which gardens was the Bell Telephone Memorial constructed?,Alexander Graham Bell Gardens,gardenbelltelephonememorialconstructed
Where is a monument located that honors Avicenna?,the Bukhara museum,monumentlocatedhonoravicenna
How much will MAPS 3 cost?,$777 million,muchmap3cost
What is a tiered system? ,the Constitution of India delineates the subjects on which each tier of government has executive powers,tieredsystem
What was de Courtenay's profession?,scholar,decourtenaysprofession
What was the name of the top-selling anti-inflammatory drug in 2013?,Humira,nametopsellingantiinflammatorydrug2013
What name for Tibet most clearly includes the entire Tibetan plateau?,Tubote,nametibetclearlyincludesentiretibetanplateau
The Concodat restored significant power to what position?,the papacy,concodatrestoredsignificantpowerposition
In what year did the British Empire replace the Maratha Empire?,1818,yearbritishempirereplacemarathaempire
Where did Asia begin? ,on the coast of Anatolia,asiabegin
Who was the first person to provide education opportunities to females?,Epicurus,firstpersonprovideeducationopportunityfemale
Who was the Tangs biggest rival?,Tibet,tangbiggestrival
What is Helen Meles noted for?,her powerful voice and wide singing range,helenmelesnoted
